instance,num agents,algorithm,length,loops
340,30,Window2,263,0
341,31,Window8,NA,NA
341,31,Window4,NA,NA
341,31,Window2,NA,NA
342,32,Window8,NA,NA
342,32,Window4,293,0
342,32,Window2,315,1
343,33,Window8,288,0
343,33,Window4,293,0
343,33,Window2,288,0
344,34,Window8,NA,NA
344,34,Window4,NA,NA
344,34,Window2,369,2
345,35,Window8,NA,NA
345,35,Window4,321,0
345,35,Window2,340,0
346,36,Window8,NA,NA
346,36,Window4,NA,NA
346,36,Window2,NA,NA
347,37,Window8,NA,NA
347,37,Window4,NA,NA
347,37,Window2,344,0
348,38,Window8,NA,NA
348,38,Window4,NA,NA
348,38,Window2,NA,NA
349,39,Window8,NA,NA
349,39,Window4,NA,NA
349,39,Window2,NA,NA
350,40,Window8,NA,NA
350,40,Window4,NA,NA
350,40,Window2,NA,NA
351,2,Window8,19,0
351,2,Window4,19,0
351,2,Window2,19,0
352,3,Window8,28,0
352,3,Window4,28,0
352,3,Window2,28,0
353,4,Window8,38,0
353,4,Window4,38,0
353,4,Window2,38,0
354,5,Window8,45,0
354,5,Window4,45,0
354,5,Window2,45,0
355,6,Window8,58,0
355,6,Window4,58,0
355,6,Window2,58,0
356,7,Window8,50,0
356,7,Window4,50,0
356,7,Window2,50,0
357,8,Window8,70,0
357,8,Window4,71,0
357,8,Window2,78,0
358,9,Window8,87,0
358,9,Window4,95,0
358,9,Window2,95,0
359,10,Window8,78,0
359,10,Window4,80,0
359,10,Window2,81,0
360,11,Window8,91,0
360,11,Window4,91,0
360,11,Window2,91,0
361,12,Window8,130,0
361,12,Window4,129,0
361,12,Window2,129,0
362,13,Window8,105,0
362,13,Window4,115,0
362,13,Window2,107,0
363,14,Window8,147,1
363,14,Window4,147,0
363,14,Window2,149,0
364,15,Window8,137,0
364,15,Window4,140,0
364,15,Window2,140,0
365,16,Window8,120,0
365,16,Window4,118,0
365,16,Window2,117,0
366,17,Window8,129,0
366,17,Window4,129,0
366,17,Window2,131,0
367,18,Window8,155,0
367,18,Window4,158,0
367,18,Window2,157,0
368,19,Window8,169,0
368,19,Window4,175,0
368,19,Window2,180,0
369,20,Window8,167,0
369,20,Window4,173,0
369,20,Window2,179,0
370,21,Window8,163,0
370,21,Window4,165,0
370,21,Window2,165,0
371,22,Window8,196,0
371,22,Window4,202,0
371,22,Window2,204,0
372,23,Window8,217,0
372,23,Window4,219,0
372,23,Window2,215,1
373,24,Window8,198,0
373,24,Window4,195,0
373,24,Window2,196,0
374,25,Window8,222,0
374,25,Window4,213,0
374,25,Window2,213,0
